Monitoring Station,Month,Rainfall,Year
"Dumaguete City, Negros Oriental",Jun,85.4,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Jun,188.1,2021
"General Santos, South Cotabato",Jun,64.0,2021
"Guiuan, Eastern Samar",Jun,131.2,2021
"Hinatuan, Surigao Del Sur",Jun,257.1,2021
"Iba, Zambales",Jun,577.2,2021
"Infanta, Quezon",Jun,133.0,2021
"Itbayat, Batanes",Jun,209.8,2021
"Juban, Sorsogon",Jun,300.4,2021
"Laoag City, Ilocos Norte",Jun,204.5,2021
"Legazpi City, Albay",Jun,173.0,2021
"Lumbia, Misamis Oriental",Jun,,2021
"Maasin, Southern Leyte",Jun,523.0,2021
"Mactan International Airport, Cebu",Jun,226.2,2021
"Malaybalay, Bukidnon",Jun,235.9,2021
"Masbate, Masbate",Jun,103.1,2021
"NAIA (MIA), Pasay City",Jun,104.5,2021
"Port Area (MCO), Manila",Jun,108.9,2021
"Puerto Princesa City, Palawan",Jun,87.5,2021
"Romblon, Romblon",Jun,128.2,2021
"Roxas City, Capiz",Jun,174.5,2021
"San Jose, Occidental Mindoro",Jun,340.4,2021
"Sangley Point, Cavite",Jun,121.5,2021
"Science Garden, Quezon City",Jun,226.7,2021
"Sinait, Ilocos Sur (former Vigan Station)",Jun,218.2,2021
"Surigao, Surigao Del Norte",Jun,119.5,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Jun,,2021
"Tacloban City, Leyte",Jun,233.9,2021
"Tanay, Rizal",Jun,262.9,2021
"Tayabas, Quezon",Jun,181.3,2021
"Tuguegarao, Cagayan",Jun,94.0,2021
"Virac Synop, Catanduanes",Jun,198.8,2021
"Zamboanga, Zamboanga Del Sur",Jun,55.3,2021
"Alabat, Quezon",Jul,386.8,2021
"Ambulong, Batangas",Jul,632.0,2021
"Aparri, Cagayan",Jul,80.2,2021
"Baguio City, Benguet",Jul,1540.1,2021
"Baler, Aurora (Radar)",Jul,399.6,2021
"Basco, Batanes (Radar)",Jul,301.7,2021
"Borongan, Eastern Samar",Jul,282.4,2021
"Butuan City, Agusan Del Norte",Jul,122.4,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Jul,,2021
"Calapan, Oriental Mindoro",Jul,537.1,2021
"Calayan, Cagayan",Jul,185.8,2021
"Casiguran, Aurora",Jul,188.2,2021
"Catarman, Northern Samar",Jul,230.8,2021
"Catbalogan, Western Samar",Jul,102.7,2021
"Clark International Airport, Pampanga",Jul,527.0,2021
"CLSU, Nueva Ecija",Jul,275.0,2021
"Coron, Palawan",Jul,,2021
"Cotabato City, Maguindanao",Jul,170.7,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Jul,1316.8,2021
"Cuyo, Palawan",Jul,295.3,2021
"Daet, Camarines Norte",Jul,193.4,2021
"Dagupan City, Pangasinan",Jul,519.4,2021
"Dauis, Bohol",Jul,69.3,2021
"Davao City, Davao Del Sur",Jul,193.1,2021
"Dipolog, Zamboanga Del Norte",Jul,226.0,2021
"Dumaguete City, Negros Oriental",Jul,123.2,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Jul,264.1,2021
"General Santos, South Cotabato",Jul,113.4,2021
"Guiuan, Eastern Samar",Jul,129.1,2021
"Hinatuan, Surigao Del Sur",Jul,363.1,2021
"Iba, Zambales",Jul,1576.3,2021
"Infanta, Quezon",Jul,265.6,2021
"Itbayat, Batanes",Jul,107.4,2021
"Juban, Sorsogon",Jul,171.4,2021
"Laoag City, Ilocos Norte",Jul,729.7,2021
"Legazpi City, Albay",Jul,291.4,2021
"Lumbia, Misamis Oriental",Jul,,2021
"Maasin, Southern Leyte",Jul,103.4,2021
"Mactan International Airport, Cebu",Jul,130.3,2021
"Malaybalay, Bukidnon",Jul,201.9,2021
"Masbate, Masbate",Jul,163.0,2021
"NAIA (MIA), Pasay City",Jul,610.5,2021
"Port Area (MCO), Manila",Jul,882.5,2021
"Puerto Princesa City, Palawan",Jul,118.1,2021
"Romblon, Romblon",Jul,693.4,2021
"Roxas City, Capiz",Jul,196.0,2021
"San Jose, Occidental Mindoro",Jul,633.4,2021
"Sangley Point, Cavite",Jul,682.6,2021
"Science Garden, Quezon City",Jul,823.7,2021
"Sinait, Ilocos Sur (former Vigan Station)",Jul,853.5,2021
"Surigao, Surigao Del Norte",Jul,140.7,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Jul,,2021
"Tacloban City, Leyte",Jul,150.8,2021
"Tanay, Rizal",Jul,686.0,2021
"Tayabas, Quezon",Jul,352.0,2021
"Tuguegarao, Cagayan",Jul,118.6,2021
"Virac Synop, Catanduanes",Jul,347.5,2021
"Zamboanga, Zamboanga Del Sur",Jul,60.1,2021
"Alabat, Quezon",Aug,142.6,2021
"Ambulong, Batangas",Aug,168.4,2021
"Aparri, Cagayan",Aug,137.6,2021
"Baguio City, Benguet",Aug,966.0,2021
"Baler, Aurora (Radar)",Aug,215.7,2021
"Basco, Batanes (Radar)",Aug,410.3,2021
"Borongan, Eastern Samar",Aug,195.7,2021
"Butuan City, Agusan Del Norte",Aug,226.2,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Aug,,2021
"Calapan, Oriental Mindoro",Aug,176.8,2021
"Calayan, Cagayan",Aug,369.4,2021
"Casiguran, Aurora",Aug,153.6,2021
"Catarman, Northern Samar",Aug,114.5,2021
"Catbalogan, Western Samar",Aug,195.4,2021
"Clark International Airport, Pampanga",Aug,306.7,2021
"CLSU, Nueva Ecija",Aug,437.6,2021
"Coron, Palawan",Aug,,2021
"Cotabato City, Maguindanao",Aug,110.6,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Aug,338.9,2021
"Cuyo, Palawan",Aug,202.0,2021
"Daet, Camarines Norte",Aug,182.6,2021
"Dagupan City, Pangasinan",Aug,398.0,2021
"Dauis, Bohol",Aug,95.7,2021
"Davao City, Davao Del Sur",Aug,172.7,2021
"Dipolog, Zamboanga Del Norte",Aug,179.0,2021
"Dumaguete City, Negros Oriental",Aug,162.8,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Aug,130.7,2021
"General Santos, South Cotabato",Aug,81.4,2021
"Guiuan, Eastern Samar",Aug,419.7,2021
"Hinatuan, Surigao Del Sur",Aug,195.8,2021
"Iba, Zambales",Aug,400.7,2021
"Infanta, Quezon",Aug,201.6,2021
"Itbayat, Batanes",Aug,467.8,2021
"Juban, Sorsogon",Aug,208.8,2021
"Laoag City, Ilocos Norte",Aug,342.1,2021
"Legazpi City, Albay",Aug,179.9,2021
"Lumbia, Misamis Oriental",Aug,,2021
"Maasin, Southern Leyte",Aug,108.8,2021
